GregorianDate,GregorianDOY,AIFCYear,AIFCMonth,AIFCDay,AIFCLabel,DayOfSol
2030-01-01,1,2030,1,1,,False
2030-01-02,2,2030,1,2,,False
2030-01-03,3,2030,1,3,,False
2030-01-04,4,2030,1,4,,False
2030-01-05,5,2030,1,5,,False
2030-01-06,6,2030,1,6,,False
2030-01-07,7,2030,1,7,,False
2030-01-08,8,2030,1,8,,False
2030-01-09,9,2030,1,9,,False
2030-01-10,10,2030,1,10,,False
2030-01-11,11,2030,1,11,,False
2030-01-12,12,2030,1,12,,False
2030-01-13,13,2030,1,13,,False
2030-01-14,14,2030,1,14,,False
2030-01-15,15,2030,1,15,,False
2030-01-16,16,2030,1,16,,False
2030-01-17,17,2030,1,17,,False
2030-01-18,18,2030,1,18,,False
2030-01-19,19,2030,1,19,,False
2030-01-20,20,2030,1,20,,False
2030-01-21,21,2030,1,21,,False
2030-01-22,22,2030,1,22,,False
2030-01-23,23,2030,1,23,,False
2030-01-24,24,2030,1,24,,False
2030-01-25,25,2030,1,25,,False
2030-01-26,26,2030,1,26,,False
2030-01-27,27,2030,1,27,,False
2030-01-28,28,2030,1,28,,False
2030-01-29,29,2030,2,1,,False
2030-01-30,30,2030,2,2,,False
2030-01-31,31,2030,2,3,,False
2030-02-01,32,2030,2,4,,False
2030-02-02,33,2030,2,5,,False
2030-02-03,34,2030,2,6,,False
2030-02-04,35,2030,2,7,,False
2030-02-05,36,2030,2,8,,False
2030-02-06,37,2030,2,9,,False
2030-02-07,38,2030,2,10,,False
2030-02-08,39,2030,2,11,,False
2030-02-09,40,2030,2,12,,False
2030-02-10,41,2030,2,13,,False
2030-02-11,42,2030,2,14,,False
2030-02-12,43,2030,2,15,,False
2030-02-13,44,2030,2,16,,False
2030-02-14,45,2030,2,17,,False
2030-02-15,46,2030,2,18,,False
2030-02-16,47,2030,2,19,,False
2030-02-17,48,2030,2,20,,False
2030-02-18,49,2030,2,21,,False
2030-02-19,50,2030,2,22,,False
2030-02-20,51,2030,2,23,,False
2030-02-21,52,2030,2,24,,False
2030-02-22,53,2030,2,25,,False
2030-02-23,54,2030,2,26,,False
2030-02-24,55,2030,2,27,,False
2030-02-25,56,2030,2,28,,False
2030-02-26,57,2030,3,1,,False
2030-02-27,58,2030,3,2,,False
2030-02-28,59,2030,3,3,,False
2030-03-01,60,2030,3,4,,False
2030-03-02,61,2030,3,5,,False
2030-03-03,62,2030,3,6,,False
2030-03-04,63,2030,3,7,,False
2030-03-05,64,2030,3,8,,False
2030-03-06,65,2030,3,9,,False
2030-03-07,66,2030,3,10,,False
2030-03-08,67,2030,3,11,,False
2030-03-09,68,2030,3,12,,False
2030-03-10,69,2030,3,13,,False
2030-03-11,70,2030,3,14,,False
2030-03-12,71,2030,3,15,,False
2030-03-13,72,2030,3,16,,False
2030-03-14,73,2030,3,17,,False
2030-03-15,74,2030,3,18,,False
2030-03-16,75,2030,3,19,,False
2030-03-17,76,2030,3,20,,False
2030-03-18,77,2030,3,21,,False
2030-03-19,78,2030,3,22,,False
2030-03-20,79,2030,3,23,,False
2030-03-21,80,2030,3,24,,False
2030-03-22,81,2030,3,25,,False
2030-03-23,82,2030,3,26,,False
2030-03-24,83,2030,3,27,,False
2030-03-25,84,2030,3,28,,False
2030-03-26,85,2030,4,1,,False
2030-03-27,86,2030,4,2,,False
2030-03-28,87,2030,4,3,,False
2030-03-29,88,2030,4,4,,False
2030-03-30,89,2030,4,5,,False
2030-03-31,90,2030,4,6,,False
2030-04-01,91,2030,4,7,,False
2030-04-02,92,2030,4,8,,False
2030-04-03,93,2030,4,9,,False
2030-04-04,94,2030,4,10,,False
2030-04-05,95,2030,4,11,,False
2030-04-06,96,2030,4,12,,False
2030-04-07,97,2030,4,13,,False
2030-04-08,98,2030,4,14,,False
2030-04-09,99,2030,4,15,,False
2030-04-10,100,2030,4,16,,False
2030-04-11,101,2030,4,17,,False
2030-04-12,102,2030,4,18,,False
2030-04-13,103,2030,4,19,,False
2030-04-14,104,2030,4,20,,False
2030-04-15,105,2030,4,21,,False
2030-04-16,106,2030,4,22,,False
2030-04-17,107,2030,4,23,,False
2030-04-18,108,2030,4,24,,False
2030-04-19,109,2030,4,25,,False
2030-04-20,110,2030,4,26,,False
2030-04-21,111,2030,4,27,,False
2030-04-22,112,2030,4,28,,False
2030-04-23,113,2030,5,1,,False
2030-04-24,114,2030,5,2,,False
2030-04-25,115,2030,5,3,,False
2030-04-26,116,2030,5,4,,False
2030-04-27,117,2030,5,5,,False
2030-04-28,118,2030,5,6,,False
2030-04-29,119,2030,5,7,,False
2030-04-30,120,2030,5,8,,False
2030-05-01,121,2030,5,9,,False
2030-05-02,122,2030,5,10,,False
2030-05-03,123,2030,5,11,,False
2030-05-04,124,2030,5,12,,False
2030-05-05,125,2030,5,13,,False
2030-05-06,126,2030,5,14,,False
2030-05-07,127,2030,5,15,,False
2030-05-08,128,2030,5,16,,False
2030-05-09,129,2030,5,17,,False
2030-05-10,130,2030,5,18,,False
2030-05-11,131,2030,5,19,,False
2030-05-12,132,2030,5,20,,False
2030-05-13,133,2030,5,21,,False
2030-05-14,134,2030,5,22,,False
2030-05-15,135,2030,5,23,,False
2030-05-16,136,2030,5,24,,False
2030-05-17,137,2030,5,25,,False
2030-05-18,138,2030,5,26,,False
